"Security_ID","BDC_Name","FV_Percentage_Cost","FV_Per_Par","Non_Accrual","Security_Type","Non_Qualifying","Loan_Tenure","FV_Percentage_Cost_Q1","FV_Per_Par_Q1","Non_Accrual_Q1","Security_Type_Q1","Non_Qualifying_Q1","Loan_Tenure_Q1","FV_Percentage_Cost_Q2","FV_Per_Par_Q2","Non_Accrual_Q2","Security_Type_Q2","Non_Qualifying_Q2","Loan_Tenure_Q2"
"'591d353ef16b6","Newtek Business Services Corp.","116.76","116.76","0","First Lien Senior Secured","0","194","116.89","116.89","0","First Lien Senior Secured","0","194","118.02","118.02","0","First Lien Senior Secured","0","194"
"'5f363da1a1d41","NexPoint Capital, Inc.","121.54","97.03","0","First Lien Senior Secured","0","-16","123.34","96.85","0","First Lien Senior Secured","0","-16","114.08","88.06","0","First Lien Senior Secured","0","-16"
"'5ffe9219c2619","BlackRock Capital Investment Corporation","","","0","","0","","","","0","","0","","","","0","First Lien Senior Secured","0","0"
"'5ac75e04a02e8","Prospect Capital Corporation","32.75","16.11","0","Other","1","4","22.85","11.24","0","Other","1","4","22.59","11.12","0","Other","1","4"
"'5d47d28e6165f","OFS Capital Corporation","82.62","67.63","0","Other","0","67","83.77","68.91","0","Other","0","67","80.02","66.39","0","Other","0","67"
"'59199b9a981d7","Audax Credit BDC Inc.","105.51","100.1","0","First Lien Senior Secured","0","13","105.86","100.21","0","First Lien Senior Secured","0","13","105.35","99.5","0","First Lien Senior Secured","0","13"
"'591ae2791ce88","Newtek Business Services Corp.","98.67","98.67","0","First Lien Senior Secured","0","-23","98.7","98.7","0","First Lien Senior Secured","0","-23","97.89","97.89","0","First Lien Senior Secured","0","-23"
"'5afbd0d1128da","Audax Credit BDC Inc.","95.54","95.81","0","First Lien Senior Secured","0","-7","95.14","95.42","0","First Lien Senior Secured","0","-7","90.58","90.85","0","First Lien Senior Secured","0","-7"
"'5be3e2404f941","FS KKR Capital Corp. II","99.01","97.47","0","Second Lien Senior Secured","1","12","97.62","96.1","0","Second Lien Senior Secured","1","12","94.45","92.98","0","Second Lien Senior Secured","1","12"
"'5e70daa7e46f3","Newtek Business Services Corp.","82.72","82.72","0","First Lien Senior Secured","0","51","82.88","82.88","0","First Lien Senior Secured","0","51","78.59","78.59","0","First Lien Senior Secured","0","51"
"'5ffec19d69e56","TCG BDC, Inc","101.82","100.15","0","First Lien Senior Secured","0","-14","101.8","100.01","0","First Lien Senior Secured","0","-14","100.94","99.15","0","First Lien Senior Secured","0","-14"
"'5aafc081d5549","Newtek Business Services Corp.","101.43","101.43","0","First Lien Senior Secured","0","26","101.39","101.39","0","First Lien Senior Secured","0","26","100.68","100.68","0","First Lien Senior Secured","0","26"
"'5e442c18e8482","Ares Capital Corporation","102.24","100","0","First Lien Senior Secured","0","-32","102.61","100","0","First Lien Senior Secured","0","-32","102.99","100","0","First Lien Senior Secured","0","-32"
"'60110c6f8ec72","Capital Southwest Corporation","100.96","100","0","First Lien Senior Secured","0","-21","101.02","100","0","First Lien Senior Secured","0","-21","101.09","100","0","First Lien Senior Secured","0","-21"
"'5f33bdcf77514","Newtek Business Services Corp.","","100","0","First Lien Senior Secured","0","-39","","100","0","First Lien Senior Secured","0","-39","","100","0","First Lien Senior Secured","0","-39"
"'59fc5e665e56a","Guggenheim Credit Income Fund","98","97.25","0","Second Lien Senior Secured","1","-11","59.54","59","0","Second Lien Senior Secured","1","-35","70.71","70","0","Second Lien Senior Secured","1","-35"
"'59158f7c45c25","Barings BDC, Inc.","99.81","99","0","First Lien Senior Secured","0","12","100.27","99.42","0","First Lien Senior Secured","0","12","99.53","98.65","0","First Lien Senior Secured","0","12"
"'6007c2a9aeae5","Owl Rock Capital Corporation II","","","0","First Lien Senior Secured","0","0","","","0","First Lien Senior Secured","0","0","","","0","First Lien Senior Secured","0","0"
"'5ff6ffe699afc","Golub Capital BDC, Inc","101.01846153846","100","0","First Lien Senior Secured","0","-27","101.41846153846","100","0","First Lien Senior Secured","0","-27","99.69","98.857142857143","0","First Lien Senior Secured","0","-27"
"'591d58d196769","Golub Capital BDC, Inc","36.71","36.265","1","First Lien Senior Secured","0","-48","47.37","46.55","1","First Lien Senior Secured","0","-48","48.725","47.925","1","First Lien Senior Secured","0","-48"
"'5992c9816bda4","FS KKR Capital Corp.","55.79","48.76","1","First Lien Senior Secured","0","-32","56.5","49.38","1","First Lien Senior Secured","0","-32","48.58","44.57","1","First Lien Senior Secured","0","-32"
"'5919a0c56034c","Newtek Business Services Corp.","","100","0","First Lien Senior Secured","0","-41","","100","0","First Lien Senior Secured","0","-41","","100","0","First Lien Senior Secured","0","-41"
"'5ff712f5e2d93","Golub Capital BDC 3, Inc.","","","0","First Lien Senior Secured","0","13","","","0","First Lien Senior Secured","0","13","","","0","First Lien Senior Secured","0","13"
"'6001229d0b064","Crescent Capital BDC, Inc","101.085","99","0","First Lien Senior Secured","0","0","102.22","100","0","First Lien Senior Secured","0","0","101.7","99.375","0","First Lien Senior Secured","0","0"
"'593fa5a86b053","Apollo Investment Corporation","100.15","98.5","0","Second Lien Senior Secured","0","-7","99.74","98","0","Second Lien Senior Secured","0","-7","99.32","97.5","0","Second Lien Senior Secured","0","-7"
"'6007f0036ab72","AB Private Credit Investors Corporation","99.59","98","0","First Lien Senior Secured","0","2","99.67","98","1","First Lien Senior Secured","0","2","99.74","98","0","First Lien Senior Secured","0","2"
"'5eb3caa7ee773","BC Partners Lending Corporation","100.87","100","0","First Lien Senior Secured","0","15","100.16","99.25","0","First Lien Senior Secured","0","3","100.92","99.98","0","First Lien Senior Secured","0","15"
"'5dc11b21e9d91","SLR Investment Corp.","96.72","97.4","0","First Lien Senior Secured","0","-23","96.65","97.4","0","First Lien Senior Secured","0","-23","96.61","97.38","0","First Lien Senior Secured","0","-23"
"'5919a213ae91b","FS KKR Capital Corp.","100","99.92","0","Subordinated","1","16.6667","100","","0","Subordinated","1","42","100","99.165","0","Subordinated","1","42"
"'60125c8e6d555","TCW Direct Lending LLC","100.61","100","0","First Lien Senior Secured","0","0","100.64","100","0","First Lien Senior Secured","0","0","100.69","100","0","First Lien Senior Secured","0","0"
"'5ffff2d28303d","Goldman Sachs BDC, Inc.","103.14","98.5","0","First Lien Senior Secured","0","-5","102.87","98","0","First Lien Senior Secured","0","-5","100.04","98.01","0","First Lien Senior Secured","0","-5"
"'5fab8f02eecc6","Barings Capital Investment Corporation","","","0","","0","","","","0","","0","","99.23","97.5","0","First Lien Senior Secured","0","-2"
"'59917ffb06d0b","Oxford Square Capital Corp.","","","0","","0","","1.29","1.17","1","Second Lien Senior Secured","0","-26","1.21","1.12","1","Second Lien Senior Secured","0","-26"
"'59942b068be15","Palmer Square Capital BDC Inc","","","0","","0","","105.35","98.75","0","First Lien Senior Secured","1","-16","102.48","95.64","0","First Lien Senior Secured","1","-16"
"'5af2c7601f44a","Owl Rock Technology Finance Corp.","100.47","99.51","0","Second Lien Senior Secured","0","37","99.99","99","0","Second Lien Senior Secured","0","37","","","0","","0",""
"'5c91edc2bf991","FS KKR Capital Corp. II","100","100","0","First Lien Senior Secured","0","-49","100","100","0","First Lien Senior Secured","0","-49","100","100","0","First Lien Senior Secured","0","-49"
"'5b61625ac73c8","Gladstone Capital Corporation","91.34","90","0","Second Lien Senior Secured","0","7","91.37","90","0","Second Lien Senior Secured","0","7","91.43","90","0","Second Lien Senior Secured","0","7"
"'5ffd6787d6843","New Mountain Finance Corporation","100.435","100","0","First Lien Senior Secured","0","1","100.67","100.22","0","First Lien Senior Secured","0","1","100.875","100.42","0","First Lien Senior Secured","0","1"
"'5915a82fb471c","Portman Ridge Finance Corporation","10.04","8.45","1","Subordinated","0","-42","49.92","43.19","1","Subordinated","0","-42","48.7","43.19","1","Subordinated","0","-42"
"'5ff7e7c6968b9","SLR Investment Corp.","99.85","102","0","First Lien Senior Secured","0","-12","99.71","101.5","0","First Lien Senior Secured","0","-12","99.27","100.5","0","First Lien Senior Secured","0","-24"
"'5ff6e9e3b68f1","Golub Capital BDC, Inc","70.345","70","0","First Lien Senior Secured","0","-13","70.4","70.005","0","First Lien Senior Secured","0","-13","70.455","69.995","0","First Lien Senior Secured","0","-13"
"'5e70bc3379b91","Newtek Business Services Corp.","103.16","103.16","0","First Lien Senior Secured","0","31","102.155","102.155","0","First Lien Senior Secured","0","31","101.13","101.14","0","First Lien Senior Secured","0","31"
"'5e3c272746617","Oaktree Strategic Income Corp","","","0","","0","","96.77","95.25","0","First Lien Senior Secured","0","-32","96.97","95.25","0","First Lien Senior Secured","0","-32"
"'5c908802bd94c","Audax Credit BDC Inc.","100.33","100","0","First Lien Senior Secured","0","-9","100.35","100","0","First Lien Senior Secured","0","-9","100.37","100","0","First Lien Senior Secured","0","-9"
"'60631f48dae2d","Newtek Business Services Corp.","111.68","111.68","0","First Lien Senior Secured","0","219","111.78","111.78","0","First Lien Senior Secured","0","219","112.39","112.39","0","First Lien Senior Secured","0","219"
"'59199bdd33b30","TCG BDC, Inc","","","0","","0","","","","0","","0","","94.61","94.19","0","Second Lien Senior Secured","0","5"
"'591d5251b2378","TCG BDC, Inc","96.725","96.41","0","First Lien Senior Secured","0","-39","94.705","94.24","0","First Lien Senior Secured","0","-39","87.53","86.975","0","First Lien Senior Secured","0","-39"
"'5f33d7f78a681","Newtek Business Services Corp.","","100","0","First Lien Senior Secured","0","-38","","100","0","First Lien Senior Secured","0","-38","","100","0","First Lien Senior Secured","0","-38"
"'5ffe984115ef6","FS Energy and Power Fund","97.44","97.44","0","First Lien Senior Secured","1","-32","92.08","92.07","0","First Lien Senior Secured","1","-32","90.3","89.95","0","First Lien Senior Secured","1","-32"
"'598dad6dcfe6a","Firsthand Technology Value Fund, Inc.","100","100","0","Subordinated","0","-44","100","100","0","Subordinated","0","-44","100","100","0","Subordinated","0","-56"
"'5ff42bfccbfec","New Mountain Finance Corporation","100.7125","100.385","0","First Lien Senior Secured","0","5","100.57666666667","100.12666666667","0","First Lien Senior Secured","0","5","100.77333333333","100.29333333333","0","First Lien Senior Secured","0","5"
"'60080a77a288e","Monroe Capital Income Plus Corporation","100.39222222222","99.601111111111","0","First Lien Senior Secured","0","-20","100.46222222222","99.736666666667","0","First Lien Senior Secured","0","-20","99.7725","99.1425","0","First Lien Senior Secured","0","-20"
"'5f33ecc7ca9ab","Newtek Business Services Corp.","","","0","","0","","100","100","0","First Lien Senior Secured","0","-39","100","100","0","First Lien Senior Secured","0","-39"
"'591451f88d20f","FS KKR Capital Corp. II","99.061538461538","86.6","0","Subordinated","1","2.6923","99.383846153846","87.896923076923","0","Subordinated","0","2.6923","101.47692307692","90.845384615385","0","Subordinated","1","2.6923"
"'5c631477a6219","Ares Capital Corporation","103.14","100","0","First Lien Senior Secured","0","3","103.1","100","0","First Lien Senior Secured","0","3","102.38","99.48","0","First Lien Senior Secured","0","3"
"'5be3d4fc6325d","Oaktree Specialty Lending Corp","98.41","97.74","0","Second Lien Senior Secured","0","11","97.68","97","0","Second Lien Senior Secured","0","11","94.19","93.5","0","Second Lien Senior Secured","0","11"
"'5dcc04b521571","Newtek Business Services Corp.","110.195","110.195","0","First Lien Senior Secured","0","234.5","107.285","107.285","0","First Lien Senior Secured","0","234.5","101.3","101.3","0","First Lien Senior Secured","0","226"
"'5a8fbc167b1d4","Goldman Sachs BDC, Inc.","28.72","23.93","0","Subordinated","1","-50","31.66","26.38","0","Subordinated","1","-50","89.01","78.67","1","Subordinated","1","-50"
"'5ff2c791c10c4","Steele Creek Capital Corporation","106.04","102.21","0","First Lien Senior Secured","0","0","105.42","101.4","0","First Lien Senior Secured","0","0","100.45","96.5","0","First Lien Senior Secured","0","0"
"'5dd53abb44bc5","Blackstone Private Credit Fund","98.84","98.84","0","First Lien Senior Secured","0","8","","","0","","0","","","","0","","0",""
"'5fb37db525b3b","Venture Lending & Leasing VIII, Inc","100","95.17","0","First Lien Senior Secured","0","-40","100","94.22","0","First Lien Senior Secured","0","-40","100","92.37","0","First Lien Senior Secured","0","-40"
"'604b27acd542f","Portman Ridge Finance Corporation","111.50333333333","96.596666666667","0","First Lien Senior Secured","0","-32","119.21","98.175","0","First Lien Senior Secured","0","-32","","","0","","0",""
"'600016301c624","Blackrock TCP Capital Corp.","101.38","99.88","0","First Lien Senior Secured","1","-2","101","99.4","0","First Lien Senior Secured","1","-2","99.93","98.26","0","First Lien Senior Secured","1","-2"
"'5ffe942228515","Blackrock TCP Capital Corp.","101.01","100","0","First Lien Senior Secured","0","-15","98.68","97.61","0","First Lien Senior Secured","0","-15","95.43","94.33","0","First Lien Senior Secured","0","-15"
"'5cdadf342ed55","Harvest Capital Credit Corporation","100.7","100","0","First Lien Senior Secured","0","-18","100.7","100","0","First Lien Senior Secured","0","-18","100.75","100","0","First Lien Senior Secured","0","-18"
"'591d2e3776714","Newtek Business Services Corp.","50","100","0","First Lien Senior Secured","0","18","50","101","0","First Lien Senior Secured","0","18","50","100","0","First Lien Senior Secured","0","18"
"'5ffeb2b28ac40","Ares Capital Corporation","100","100","0","First Lien Senior Secured","0","-39","97","97","0","First Lien Senior Secured","0","-39","92.92","92.92","0","First Lien Senior Secured","0","-39"
"'593fabb05645a","Prospect Capital Corporation","100","100","0","First Lien Senior Secured","0","-20","100","100","0","First Lien Senior Secured","0","-20","100","100","0","First Lien Senior Secured","0","-20"
"'609e808e365fc","Business Development Corporation of America","86.98","86.98","0","First Lien Senior Secured","0","-3","87","87","0","First Lien Senior Secured","0","-3","84.8","84.79","0","First Lien Senior Secured","0","-3"
"'602615208d54e","Ares Capital Corporation","100","100","0","First Lien Senior Secured","0","-25","99.17","99.17","0","First Lien Senior Secured","0","-25","97.14","97.14","0","First Lien Senior Secured","0","-25"
"'5ec23a1c260ae","Great Elm Capital Corp.","118.63","101.27","0","First Lien Senior Secured","1","3","113.21","96","0","First Lien Senior Secured","1","3","","","0","","0",""
"'5a13f4e7d7876","Golub Capital BDC, Inc","98.586666666667","100","0","First Lien Senior Secured","0","-23","98.433333333333","100","0","First Lien Senior Secured","0","-23","96.27","97.945","0","First Lien Senior Secured","0","-23"
"'5ff6e8adbd2e5","Golub Capital BDC, Inc","101.07","100","0","First Lien Senior Secured","0","1","100.12","99","0","First Lien Senior Secured","0","1","100.82","100","0","First Lien Senior Secured","0","1"
"'59a7da48531d9","Bain Capital Specialty Finance, Inc","92.51","92","0","First Lien Senior Secured","0","-24","90.59","90","0","First Lien Senior Secured","0","-24","90.69","89.99","0","First Lien Senior Secured","0","-24"
"'5ffe8d77a7268","Blackrock TCP Capital Corp.","103.97","101.66666666667","0","First Lien Senior Secured","0","-2","104.58","102.13333333333","0","First Lien Senior Secured","0","-2","102.235","100.2","0","First Lien Senior Secured","0","-2"
"'5915a03b2f40d","Newtek Business Services Corp.","116.48","116.48","0","First Lien Senior Secured","0","153","116.75","116.75","0","First Lien Senior Secured","0","153","117.11","117.11","0","First Lien Senior Secured","0","153"
"'5d4a82ebd0802","Monroe Capital Corporation","100.38","100","0","First Lien Senior Secured","0","-34","101.635","101.2075","0","First Lien Senior Secured","0","-34","101.91","101.17","0","First Lien Senior Secured","0","-34"
"'5ff6e7a374116","Golub Capital BDC, Inc","","","0","First Lien Senior Secured","0","-8","","","0","First Lien Senior Secured","0","-8","","","0","First Lien Senior Secured","0","-8"
"'5c763c1b856b8","TCG BDC II, Inc.","84.85","83.55","0","First Lien Senior Secured","0","2","84.68","83.3","0","First Lien Senior Secured","0","2","85.83","84.53","0","First Lien Senior Secured","0","2"
"'591995313559e","Newtek Business Services Corp.","117.18","117.18","0","First Lien Senior Secured","0","177","117.33","117.34","0","First Lien Senior Secured","0","177","116.1","116.1","0","First Lien Senior Secured","0","177"
"'5ff83ccba6d99","Golub Capital BDC 3, Inc.","94.124098360656","100","0","First Lien Senior Secured","1","-24","100.71121212121","100","0","First Lien Senior Secured","0","-24","100.90764705882","100","0","First Lien Senior Secured","0","-24"
"'5919a0c6373b3","CION Investment Corporation","101.47","97","0","Second Lien Senior Secured","0","-24","94.53","90","0","Second Lien Senior Secured","0","-24","88.52","87.5","0","Second Lien Senior Secured","0","-24"
"'5b7103bbc5301","WhiteHorse Finance, Inc.","96.39","95.6","0","First Lien Senior Secured","0","-27","96.53","95.64","0","First Lien Senior Secured","0","-27","96.63","95.63","0","First Lien Senior Secured","0","-27"
"'591d77b5acc5d","Newtek Business Services Corp.","116.62","116.62","0","First Lien Senior Secured","0","195","117.09","117.09","0","First Lien Senior Secured","0","195","117.97","117.97","0","First Lien Senior Secured","0","195"
"'6012414374b08","SL Investment Corp.","102.87","100","0","First Lien Senior Secured","0","5","100","97.06","0","First Lien Senior Secured","0","5","","","0","","0",""
"'59258c2c6f545","Main Street Capital Corporation","100.07","100","0","First Lien Senior Secured","0","-50","100.16","100","0","First Lien Senior Secured","0","-50","100.23","100","0","First Lien Senior Secured","0","-50"
"'606354758d66b","Newtek Business Services Corp.","106.73","106.73","0","First Lien Senior Secured","0","241","106.67","106.67","0","First Lien Senior Secured","0","241","","","0","","0",""
"'5ff597348f931","Golub Capital BDC 3, Inc.","104.62","101.39","0","First Lien Senior Secured","1","7","106.17333333333","102.89333333333","0","First Lien Senior Secured","1","7","104.04666666667","100.76333333333","0","First Lien Senior Secured","1","7"
"'591af0f9e64f1","Newtek Business Services Corp.","11.33","11.33","1","First Lien Senior Secured","0","-2","6.46","6.46","1","First Lien Senior Secured","0","-2","3.29","3.29","1","First Lien Senior Secured","0","-2"
"'5915a5c2dd673","Newtek Business Services Corp.","117.26","117.26","0","First Lien Senior Secured","0","178.5","117.405","117.4","0","First Lien Senior Secured","0","178.5","117.955","117.955","0","First Lien Senior Secured","0","178.5"
"'5af5642b5fc2a","Nuveen Churchill Direct Lending Corp.","86.55","85.51","0","First Lien Senior Secured","0","-17","96.48","95.32","0","First Lien Senior Secured","0","-17","97.75","96.58","0","First Lien Senior Secured","0","-17"
"'598d9c3c54fa8","FS KKR Capital Corp.","100","100","0","First Lien Senior Secured","0","-13","100","100","0","First Lien Senior Secured","0","-13","99.1","99.1","0","First Lien Senior Secured","0","-12"
"'602403758dee6","Barings BDC, Inc.","98.585","98","0","First Lien Senior Secured","0","2","101.57","98","0","First Lien Senior Secured","0","2","","","0","","0",""
"'5af3edc631743","Guggenheim Credit Income Fund","97.41","95.99","0","First Lien Senior Secured","0","-5","97.23","95.72","0","First Lien Senior Secured","0","-5","93.51","91.99","0","First Lien Senior Secured","0","-5"
"'5fa3e2c2828e5","Crescent Capital BDC, Inc","","","0","First Lien Senior Secured","0","10","","","0","First Lien Senior Secured","0","10","109.2","100","0","First Lien Senior Secured","0","10"
"'5c8b684f75bbb","Venture Lending & Leasing VIII, Inc","100","99.5","0","First Lien Senior Secured","0","-52","100","99.02","0","First Lien Senior Secured","0","-52","100","98.54","0","First Lien Senior Secured","0","-52"
"'6007be9f29daa","Owl Rock Capital Corporation II","96.42","95.02","0","First Lien Senior Secured","0","-34","95.42","93.85","0","First Lien Senior Secured","0","-34","93.61","91.9","0","First Lien Senior Secured","0","-34"
"'59d72a15b30b7","Newtek Business Services Corp.","107.595","107.595","0","First Lien Senior Secured","0","121.5","107.97","107.97","0","First Lien Senior Secured","0","121.5","105.68","105.68","0","First Lien Senior Secured","0","121.5"
"'5faba057c59aa","WhiteHorse Finance, Inc.","101.72","100","0","First Lien Senior Secured","0","-10","101.36","99.51","0","First Lien Senior Secured","0","-10","101.98","100","0","First Lien Senior Secured","0","-10"
"'60125996e9df7","TCW Direct Lending LLC","100","100","0","First Lien Senior Secured","0","-51","99.1","99.1","0","First Lien Senior Secured","0","-51","99.2","99.2","0","First Lien Senior Secured","0","-51"
"'5f33e67d42672","Newtek Business Services Corp.","","100","0","First Lien Senior Secured","0","-39","","100","0","First Lien Senior Secured","0","-39","","100","0","First Lien Senior Secured","0","-39"
"'5aafcf59105c1","Newtek Business Services Corp.","97.48","97.48","0","First Lien Senior Secured","0","26","97.79","97.79","0","First Lien Senior Secured","0","26","95.95","95.95","0","First Lien Senior Secured","0","26"
"'591d73e9bc166","Newtek Business Services Corp.","50.725","99.815","0","First Lien Senior Secured","0","23","50.695","98.94","0","First Lien Senior Secured","0","23","50.335","95.165","0","First Lien Senior Secured","0","23"
"'5915a02e616e4","Newtek Business Services Corp.","105.95","105.95","0","First Lien Senior Secured","0","19","106.16","106.16","0","First Lien Senior Secured","0","19","105.75","105.75","0","First Lien Senior Secured","0","19"
"'5915a9caa7e9c","Newtek Business Services Corp.","106.174","106.174","0","First Lien Senior Secured","0","75.4","106.264","106.264","0","First Lien Senior Secured","0","75.4","105.66","105.66","0","First Lien Senior Secured","0","75.4"
"'5fff034713c3b","AB Private Credit Investors Corporation","99.37","97.96","0","First Lien Senior Secured","0","-4","97.38","95.92","1","First Lien Senior Secured","0","-4","97.46","95.92","0","First Lien Senior Secured","0","-4"
"'6010f0e62da6f","Kayne Anderson BDC, Inc.","100.95","100","0","First Lien Senior Secured","0","-10","","","0","","0","","","","0","","0",""
"'5dbaa5c3bd8a1","Business Development Corporation of America","101.99","100","0","First Lien Senior Secured","0","0","102.11","100","0","First Lien Senior Secured","0","0","99.38","97.22","0","First Lien Senior Secured","0","0"
"'5e417693b6f11","Golub Capital BDC 3, Inc.","100.87333333333","100","0","First Lien Senior Secured","0","2","100.8","100","0","First Lien Senior Secured","1","2","98.85","98.045","0","First Lien Senior Secured","1","2"
"'5ff7f8a72ac6f","Golub Capital BDC 3, Inc.","","","0","First Lien Senior Secured","0","3","","","0","First Lien Senior Secured","0","3","","","0","First Lien Senior Secured","0","3"
"'5cdbc8ce74a27","Venture Lending & Leasing VIII, Inc","100","98.21","0","First Lien Senior Secured","0","-37","100","97.93","0","First Lien Senior Secured","0","-37","100","97.65","0","First Lien Senior Secured","0","-37"
"'5be54babc645f","FS KKR Capital Corp.","100.83","100.525","0","First Lien Senior Secured","0","-2","100.77","100.46","0","First Lien Senior Secured","0","-2","100.5","100.08","0","First Lien Senior Secured","0","-2"
"'5dcd0cda39ed0","Venture Lending & Leasing VIII, Inc","100","96.73","0","First Lien Senior Secured","0","-27","100","96.4","0","First Lien Senior Secured","0","-27","100","96.09","0","First Lien Senior Secured","0","-27"
"'5915a1fb13764","Blackstone Private Credit Fund","99.49","99.38","0","First Lien Senior Secured","1","-23","","","0","","0","","","","0","","0",""
"'591567b685c12","TCW Direct Lending VII LLC","100","100","0","First Lien Senior Secured","0","0","100","100","0","First Lien Senior Secured","0","0","100","100","0","First Lien Senior Secured","0","0"
"'5d4d391ba0a11","Blackrock TCP Capital Corp.","100.335","99.75","0","First Lien Senior Secured","0","-28","101.48","100.6","0","First Lien Senior Secured","0","-40","101.49","100.5","0","First Lien Senior Secured","0","-40"
"'605af4c67e89a","Barings Capital Investment Corporation","114.2","114.2","0","Subordinated","0","38","110.79","110.79","0","Subordinated","0","38","","","0","","0",""
"'5b62e02e437af","SLR Senior Investment Corp","101.7","100","0","First Lien Senior Secured","0","12","101.25","99.49","0","First Lien Senior Secured","0","12","100.81","99","0","First Lien Senior Secured","0","12"
"'5919a29896b6a","Crescent Capital BDC, Inc","78.17","76.5","0","First Lien Senior Secured","0","-32","78.3","76.38","0","First Lien Senior Secured","0","-32","68.91","67","0","First Lien Senior Secured","0","-32"
"'5ff83bafc11f4","Golub Capital BDC, Inc","88.546666666667","90","0","First Lien Senior Secured","0","-16","88.44","90","0","First Lien Senior Secured","0","-16","88.326666666667","89.97","0","First Lien Senior Secured","0","-16"
"'5ff82297b12f2","Golub Capital BDC 3, Inc.","","","0","First Lien Senior Secured","0","-21","","","0","First Lien Senior Secured","0","-21","","","0","First Lien Senior Secured","0","-21"
"'5b6d4129d25e3","FS KKR Capital Corp. II","","","0","","0","","","","0","","0","","107.41","101.4","0","Subordinated","0","-24"
"'599e4ff29b145","Princeton Capital Corporation","54","54","1","Second Lien Senior Secured","0","-35","33","33","1","Second Lien Senior Secured","0","-35","48","48","0","Second Lien Senior Secured","0","-35"
"'605af7205fe8c","Barings Capital Investment Corporation","105.13","96.24","0","First Lien Senior Secured","1","3","103.96","96.92","0","First Lien Senior Secured","1","3","","","0","","0",""
"'5915a2a1e2c73","Newtek Business Services Corp.","102.26","102.26","0","First Lien Senior Secured","0","6","102.9","102.9","0","First Lien Senior Secured","0","6","102.08","102.08","0","First Lien Senior Secured","0","6"
"'59157c473fbd8","Portman Ridge Finance Corporation","103.91","96.99","0","Second Lien Senior Secured","0","-26","103.02","95.38","0","Second Lien Senior Secured","0","-26","101.57","93.25","0","Second Lien Senior Secured","0","-26"
"'5a840bce7321a","Ares Capital Corporation","100","100","0","Second Lien Senior Secured","0","1","100","100","0","Second Lien Senior Secured","0","1","100","100","0","Second Lien Senior Secured","0","1"
"'5919981e32d46","Newtek Business Services Corp.","103.55","103.55","0","First Lien Senior Secured","0","0","102.54","102.54","0","First Lien Senior Secured","0","0","101.62","101.62","0","First Lien Senior Secured","0","0"
